d_D20OD1_R414HH12,d_D20OD2_R414HH22,density,free_energy
2.8385,2.4849,0.0000,
2.8815,2.4849,0.0000,
2.9246,2.4849,0.0000,
2.9677,2.4849,0.0000,
3.0107,2.4849,0.0000,
3.0538,2.4849,0.0000,
3.0968,2.4849,0.0000,
3.1399,2.4849,0.0000,
3.1830,2.4849,0.0000,
3.2260,2.4849,0.5837,1.4814
3.2691,2.4849,0.0000,
3.3122,2.4849,0.0000,
3.3552,2.4849,0.5837,1.4814
3.3983,2.4849,0.0000,
3.4414,2.4849,0.0000,
3.4844,2.4849,0.0000,
3.5275,2.4849,0.0000,
3.5706,2.4849,0.0000,
1.9771,2.5247,0.0000,
2.0202,2.5247,0.0000,
2.0633,2.5247,0.0000,
2.1063,2.5247,0.0000,
2.1494,2.5247,0.0000,
2.1925,2.5247,0.0000,
2.2355,2.5247,0.0000,
2.2786,2.5247,0.0000,
2.3217,2.5247,0.0000,
2.3647,2.5247,0.0000,
2.4078,2.5247,0.0000,
2.4509,2.5247,0.0000,
2.4939,2.5247,0.0000,
2.5370,2.5247,0.0000,
2.5801,2.5247,0.0000,
2.6231,2.5247,0.0000,
2.6662,2.5247,0.0000,
2.7093,2.5247,0.0000,
2.7523,2.5247,0.0000,
2.7954,2.5247,0.0000,
2.8385,2.5247,0.0000,
2.8815,2.5247,0.0000,
2.9246,2.5247,1.1674,1.0682
2.9677,2.5247,0.0000,
3.0107,2.5247,0.0000,
3.0538,2.5247,0.0000,
3.0968,2.5247,0.0000,
3.1399,2.5247,0.5837,1.4814
3.1830,2.5247,0.5837,1.4814
3.2260,2.5247,0.0000,
3.2691,2.5247,0.0000,
3.3122,2.5247,0.0000,
3.3552,2.5247,0.0000,
3.3983,2.5247,0.0000,
3.4414,2.5247,0.0000,
3.4844,2.5247,0.0000,
3.5275,2.5247,0.0000,
3.5706,2.5247,0.0000,
1.9771,2.5645,0.0000,
2.0202,2.5645,0.0000,
2.0633,2.5645,0.0000,
2.1063,2.5645,0.0000,
2.1494,2.5645,0.0000,
2.1925,2.5645,0.0000,
2.2355,2.5645,0.0000,
2.2786,2.5645,0.0000,
2.3217,2.5645,0.0000,
2.3647,2.5645,0.0000,
2.4078,2.5645,0.0000,
2.4509,2.5645,0.0000,
2.4939,2.5645,0.0000,
2.5370,2.5645,0.0000,
2.5801,2.5645,0.0000,
2.6231,2.5645,0.0000,
2.6662,2.5645,0.0000,
2.7093,2.5645,0.0000,
2.7523,2.5645,0.0000,
2.7954,2.5645,0.0000,
2.8385,2.5645,0.0000,
2.8815,2.5645,0.0000,
2.9246,2.5645,1.1674,1.0682
2.9677,2.5645,1.1674,1.0682
3.0107,2.5645,1.1674,1.0682
3.0538,2.5645,0.5837,1.4814
3.0968,2.5645,0.0000,
3.1399,2.5645,0.0000,
3.1830,2.5645,0.0000,
3.2260,2.5645,0.0000,
3.2691,2.5645,1.1674,1.0682
3.3122,2.5645,0.0000,
3.3552,2.5645,0.0000,
3.3983,2.5645,0.5837,1.4814
3.4414,2.5645,0.0000,
3.4844,2.5645,0.0000,
3.5275,2.5645,0.0000,
3.5706,2.5645,0.0000,
1.9771,2.6042,0.0000,
2.0202,2.6042,0.0000,
2.0633,2.6042,0.0000,
2.1063,2.6042,0.0000,
2.1494,2.6042,0.0000,
2.1925,2.6042,0.0000,
2.2355,2.6042,0.0000,
2.2786,2.6042,0.0000,
2.3217,2.6042,0.0000,
2.3647,2.6042,0.0000,
2.4078,2.6042,0.0000,
2.4509,2.6042,0.0000,
2.4939,2.6042,0.0000,
2.5370,2.6042,0.0000,
2.5801,2.6042,0.0000,
2.6231,2.6042,0.5837,1.4814
2.6662,2.6042,0.0000,
2.7093,2.6042,0.0000,
2.7523,2.6042,0.0000,
2.7954,2.6042,0.0000,
2.8385,2.6042,0.0000,
2.8815,2.6042,0.5837,1.4814
2.9246,2.6042,0.0000,
2.9677,2.6042,1.7512,0.8265
3.0107,2.6042,0.0000,
3.0538,2.6042,1.1674,1.0682
3.0968,2.6042,0.5837,1.4814
3.1399,2.6042,1.7512,0.8265
3.1830,2.6042,0.0000,
3.2260,2.6042,0.0000,
3.2691,2.6042,0.0000,
3.3122,2.6042,0.5837,1.4814
3.3552,2.6042,0.0000,
3.3983,2.6042,0.0000,
3.4414,2.6042,0.0000,
3.4844,2.6042,0.0000,
3.5275,2.6042,0.0000,
3.5706,2.6042,0.0000,
1.9771,2.6440,0.0000,
2.0202,2.6440,0.0000,
2.0633,2.6440,0.0000,
2.1063,2.6440,0.0000,
2.1494,2.6440,0.0000,
2.1925,2.6440,0.0000,
2.2355,2.6440,0.0000,
2.2786,2.6440,0.0000,
2.3217,2.6440,0.0000,
2.3647,2.6440,0.0000,
2.4078,2.6440,0.0000,
2.4509,2.6440,0.0000,
2.4939,2.6440,0.0000,
2.5370,2.6440,0.0000,
2.5801,2.6440,0.0000,
2.6231,2.6440,0.0000,
2.6662,2.6440,0.0000,
2.7093,2.6440,0.0000,
2.7523,2.6440,0.5837,1.4814
2.7954,2.6440,0.5837,1.4814
2.8385,2.6440,0.0000,
2.8815,2.6440,1.1674,1.0682
2.9246,2.6440,0.0000,
2.9677,2.6440,0.0000,
3.0107,2.6440,0.5837,1.4814
3.0538,2.6440,0.5837,1.4814
3.0968,2.6440,1.7512,0.8265
3.1399,2.6440,0.0000,
3.1830,2.6440,0.5837,1.4814
3.2260,2.6440,0.5837,1.4814
3.2691,2.6440,0.0000,
3.3122,2.6440,0.0000,
3.3552,2.6440,0.0000,
3.3983,2.6440,0.0000,
3.4414,2.6440,0.0000,
3.4844,2.6440,0.0000,
3.5275,2.6440,0.0000,
3.5706,2.6440,0.5837,1.4814
1.9771,2.6838,0.0000,
2.0202,2.6838,0.0000,
2.0633,2.6838,0.0000,
2.1063,2.6838,0.0000,
2.1494,2.6838,0.0000,
2.1925,2.6838,0.0000,
2.2355,2.6838,0.0000,
2.2786,2.6838,0.0000,
2.3217,2.6838,0.0000,
2.3647,2.6838,0.0000,
2.4078,2.6838,0.0000,
2.4509,2.6838,0.0000,
2.4939,2.6838,0.0000,
2.5370,2.6838,0.0000,
2.5801,2.6838,0.0000,
2.6231,2.6838,0.0000,
2.6662,2.6838,0.0000,
2.7093,2.6838,0.0000,
2.7523,2.6838,0.0000,
2.7954,2.6838,0.5837,1.4814
2.8385,2.6838,0.0000,
2.8815,2.6838,1.1674,1.0682
2.9246,2.6838,0.5837,1.4814
2.9677,2.6838,1.7512,0.8265
3.0107,2.6838,1.1674,1.0682
3.0538,2.6838,1.7512,0.8265
3.0968,2.6838,1.1674,1.0682
3.1399,2.6838,1.7512,0.8265
3.1830,2.6838,0.0000,
3.2260,2.6838,0.0000,
3.2691,2.6838,0.0000,
3.3122,2.6838,1.1674,1.0682
3.3552,2.6838,0.5837,1.4814
3.3983,2.6838,0.0000,
3.4414,2.6838,0.0000,
3.4844,2.6838,0.0000,
3.5275,2.6838,0.0000,
3.5706,2.6838,0.0000,
1.9771,2.7236,0.0000,
2.0202,2.7236,0.0000,
2.0633,2.7236,0.0000,
2.1063,2.7236,0.0000,
2.1494,2.7236,0.0000,
2.1925,2.7236,0.0000,
2.2355,2.7236,0.0000,
2.2786,2.7236,0.0000,
2.3217,2.7236,0.0000,
2.3647,2.7236,0.0000,
2.4078,2.7236,0.0000,
